           1           1           0           0           0           0
           2           1           0           0           0           1
           3           0           1           1           1           0
           4           0           1           1           0           1
           5           1           0           0           0           1
           6           0           0           1           1           0
           7           0           0           0           0           0
           8           0           1           1           0           0
           9           0           0           1           0           1
          10           0           1           0           1           0
          11           0           0           0           0           0
          12           1           0           0           1           1
          13           1           0           0           0           0
          14           1           1           0           0           1
          15           0           1           0           1           0
          16           0           1           0           0           1
          17           0           0           1           1           1
          18           1           1           1           1           1
          19           0           0           0           0           1
          20           0           1           0           0           0
          21           1           1           0           1           1
          22           1           0           0           0           0
          23           0           0           1           1           1
          24           0           0           0           0           0
          25           1           0           0           0           0
          26           0           0           1           1           1
          27           0           0           0           0           0
          28           0           0           0           0           1
          29           1           1           0           1           1
          30           0           1           1           0           0
          31           1           1           0           1           1
          32           1           0           0           1           0
          33           1           1           1           0           0
          34           0           1           0           0           0
          35           0           0           0           0           0
          36           0           0           1           0           0
          37           1           0           0           1           0
          38           1           1           1           1           1
          39           1           0           0           0           0
          40           1           0           0           1           0
          41           1           1           0           0           1
          42           0           0           0           0           0
          43           0           1           0           0           0
          44           1           0           1           1           0
          45           1           1           0           1           1
          46           0           0           1           0           1
          47           0           0           1           1           1
          48           0           1           0           0           0
          49           0           0           0           1           0
          50           0           0           0           1           0
          51           0           1           0           1           1
          52           0           0           1           0           1
          53           1           0           1           0           0
          54           1           0           0           0           1
          55           0           0           0           0           1
          56           0           0           0           1           1
          57           1           1           1           0           1
          58           0           1           0           1           0
          59           0           1           0           1           1
          60           0           0           0           0           0
          61           0           1           1           0           0
          62           0           0           0           0           0
          63           0           0           0           1           0
          64           0           0           0           1           0
          65           0           0           1           0           0
          66           1           0           1           0           1
          67           0           0           1           0           0
          68           0           1           0           0           0
          69           0           0           0           0           0
          70           0           1           0           1           0
          71           1           0           0           1           0
          72           1           0           1           0           0
          73           0           0           1           1           0
          74           1           1           1           0           1
          75           1           0           0           0           0
          76           0           0           1           0           1
          77           1           0           0           0           0
          78           0           1           0           0           0
          79           0           1           1           1           0
          80           1           1           0           1           0
          81           0           1           1           0           0
          82           0           1           0           0           1
          83           1           0           1           1           0
          84           0           1           1           1           0
          85           0           0           1           0           0
          86           1           0           1           0           1
          87           0           0           1           0           0
          88           1           1           0           0           1
          89           0           1           1           1           0
          90           0           1           0           1           1
          91           0           1           1           0           0
          92           0           1           0           0           1
          93           0           1           0           1           0
          94           0           1           0           1           1
          95           1           0           0           1           0
          96           0           0           0           0           1
          97           1           1           0           0           0
          98           0           0           0           1           1
          99           0           0           1           0           1
         100           0           0           0           0           0
