 12,  14,  18,  15,  57, 116 
 33,   4,  17,  26,  46, 126 
 37,  31,   9,  32,  19, 128 
 21,  18,  26,  18,  52, 135 
 41,  10,   9,  63,  18, 141 
 25,  16,   9,  31,  74, 155 
  2,  38,  72,   3,  41, 156 
 18,  15,  67,  37,  21, 158 
 21,  34,  47,  49,   9, 160 
 53,  43,   6,  40,  19, 161 
 32,  18,  85,  26,   4, 165 
 29,  33,  30,  59,  29, 180 
 25,  97,  46,  12,   5, 185 
 22,  51,  47,  38,  31, 189 
 45,  61,  23,  26,  41, 196 
  1,  68,  83,  10,  46, 208 
 14,  38,  18,  95,  56, 221 
 38,  92,   4,  93,   2, 229 
 33,  33,  76,   0,  92, 234 
 40,  18,  23,  84,  76, 241 
 13,   3,  79,  64,  82, 241 
 31,  79,  83,  29,  26, 248 
 12,  94,  66,  51,  28, 251 
 57,  70,  57,  56,  14, 254 
 41,  29,  76,  21,  92, 259 
 97,  21,  33,  71,  38, 260 
 14,  15,  86,  98,  47, 260 
 86,  78,  33,  51,  16, 264 
 80,  74,  52,  23,  38, 267 
 14,  84,  53,  94,  23, 268 
 39,  80,  84,  47,  21, 271 
 71,  20,   3,  90,  88, 272 
 41,  81,  46,   6,  98, 272 
  0,   8,  99,  71,  94, 272 
 54,  70,  91,  44,  17, 276 
 97,  41,   8,  80,  51, 277 
 75,  57,  47,  89,  12, 280 
  1,  82,  99,  45,  55, 282 
 83,  20,  89,  17,  86, 295 
 29,  58,  61,  58,  98, 304 
  5,  88,  23,  93,  96, 305 
 44,  59,  87,  50,  66, 306 
 77,  89,  44,  40,  56, 306 
 72,  21,  81,  83,  54, 311 
 88,  48,  30,  79,  74, 319 
 66,  30,  65,  70,  90, 321 
 95,  45,  74,  73,  45, 332 
 66,  90,  38,  58,  99, 351 
 74,  91,  36,  58,  96, 355 
 75,  93,  73,  94,  59, 394 
