 95,  45,  74,  73,  45, 332 
332, 332,   1,  82,  99, 846 
 45, 559,  55, 282,  31, 972 
 79,  83, 530,  29,  26, 747 
248,  88,  48, 439,  30, 853 
 79,  74, 319,  14, 516, *** 
 38,  18,  95,  56, 221, 428 
428,  37,  31,   9,  32, 537 
 19, 128, 128,  75,  57, 407 
 47,  89, 396,  12, 280, 824 
 29,  58,  61, 440,  58, 646 
 98, 304,  86,  78, 624, *** 
 33,  51,  16, 264,  25, 389 
389,  97,  46,  12,   5, 549 
185, 345,  25,  16,   9, 580 
 31,  74, 155, 155,  44, 459 
 59,  87,  50, 395,  66, 657 
306,  29,  33,  30, 464, 862 
 59,  29, 180,  21,  34, 323 
323,  47,  49,   9, 160, 588 
 45, 310,  61,  23,  26, 465 
 41, 196, 347,  75,  93, 752 
 73,  94,  59, 394, 394, *** 
 41,  81,  46,   6, 568, 742 
 98, 272,  74,  91,  36, 571 
571,  58,  96, 355,  80, *** 
 74, 663,  52,  23,  38, 850 
267,  33, 413,  33,  76, 822 
  0,  92, 234, 435,  53, 814 
 43,   6,  40,  19, 161, 269 
161,  54,  70,  91,  44, 420 
420,  17, 276,  72,  21, 806 
 81, 467,  83,  54, 311, 996 
 14,  84, 546,  53,  94, 791 
 23, 268,  71, 509,  20, 891 
  3,  90,  88, 272, 473, 926 
 38,  92,   4,  93,   2, 229 
229, 229,   2,  38,  72, 570 
  3, 344,  41, 156,   5, 549 
 88,  23, 313,  93,  96, 613 
305,  12,  14, 520,  18, 869 
 15,  57, 116,  97, 303, 588 
 41,   8,  80,  51, 277, 457 
457,  40,  18,  23,  84, 622 
 76, 241, 241,  57,  70, 685 
 57,  56, 481,  14, 254, 862 
  0,   8,  99, 375,  71, 553 
 94, 272,  18,  15, 470, 869 
 67,  37,  21, 158,  12, 295 
295,  94,  66,  51,  28, 534 
