95, 45, 74, 73, 45
1, 82, 99, 45, 55
31, 79, 83, 29, 26
88, 48, 30, 79, 74
14, 38, 18, 95, 56
37, 31, 9, 32, 19
75, 57, 47, 89, 12
29, 58, 61, 58, 98
86, 78, 33, 51, 16
25, 97, 46, 12, 5
25, 16, 9, 31, 74
44, 59, 87, 50, 66
29, 33, 30, 59, 29
21, 34, 47, 49, 9
45, 61, 23, 26, 41
75, 93, 73, 94, 59
41, 81, 46, 6, 98
74, 91, 36, 58, 96
80, 74, 52, 23, 38
33, 33, 76, 0, 92
53, 43, 6, 40, 19
54, 70, 91, 44, 17
72, 21, 81, 83, 54
14, 84, 53, 94, 23
71, 20, 3, 90, 88
38, 92, 4, 93, 2
2, 38, 72, 3, 41
5, 88, 23, 93, 96
12, 14, 18, 15, 57
97, 41, 8, 80, 51
40, 18, 23, 84, 76
57, 70, 57, 56, 14
0, 8, 99, 71, 94
18, 15, 67, 37, 21
12, 94, 66, 51, 28
33, 4, 17, 26, 46
39, 80, 84, 47, 21
83, 20, 89, 17, 86
41, 10, 9, 63, 18
66, 30, 65, 70, 90
32, 18, 85, 26, 4
21, 18, 26, 18, 52
77, 89, 44, 40, 56
13, 3, 79, 64, 82
1, 68, 83, 10, 46
14, 15, 86, 98, 47
22, 51, 47, 38, 31
66, 90, 38, 58, 99
41, 29, 76, 21, 92
97, 21, 33, 71, 38
