          95          45          74          73          45         332
           1          82          99          45          55         282
          31          79          83          29          26         248
          88          48          30          79          74         319
          14          38          18          95          56         221
          37          31           9          32          19         128
          75          57          47          89          12         280
          29          58          61          58          98         304
          86          78          33          51          16         264
          25          97          46          12           5         185
          25          16           9          31          74         155
          44          59          87          50          66         306
          29          33          30          59          29         180
          21          34          47          49           9         160
          45          61          23          26          41         196
          75          93          73          94          59         394
          41          81          46           6          98         272
          74          91          36          58          96         355
          80          74          52          23          38         267
          33          33          76           0          92         234
          53          43           6          40          19         161
          54          70          91          44          17         276
          72          21          81          83          54         311
          14          84          53          94          23         268
          71          20           3          90          88         272
          38          92           4          93           2         229
           2          38          72           3          41         156
           5          88          23          93          96         305
          12          14          18          15          57         116
          97          41           8          80          51         277
          40          18          23          84          76         241
          57          70          57          56          14         254
           0           8          99          71          94         272
          18          15          67          37          21         158
          12          94          66          51          28         251
          33           4          17          26          46         126
          39          80          84          47          21         271
          83          20          89          17          86         295
          41          10           9          63          18         141
          66          30          65          70          90         321
          32          18          85          26           4         165
          21          18          26          18          52         135
          77          89          44          40          56         306
          13           3          79          64          82         241
           1          68          83          10          46         208
          14          15          86          98          47         260
          22          51          47          38          31         189
          66          90          38          58          99         351
          41          29          76          21          92         259
          97          21          33          71          38         260
